User_id;Nick in Pokemon Go;Friendship code in Pokemon Go;Level in Pokemon Go;Nick in Pokemon Unite;Friendship code in Pokemon Unite;Number of messages;Number of leader raids;Number of raid participants;Number of wins in rock paper scissors
;Midoroshi;321852486299;25;-;-;144;0;0;0
;0;0;0;0;0;13;0;0;0
;0;0;0;0;0;13;0;0;0
;0;0;0;0;0;1;0;0;0
;0;0;0;0;0;127;0;0;0
;0;0;0;0;0;62;0;0;0
;Ник_Leha127;Тег_5208;1770;9814;Левл_36;36;0;2;0
;0;0;0;0;0;5;0;0;0
;0;0;0;0;0;1;0;0;0
;-;-;-;Leaf16;HGG8Y4F;92;0;0;0
;0;0;0;0;0;15;0;0;0
;0;0;0;0;0;1;0;0;0
;LinkinLucky;875087108887;25;TXC_Lisha;K5F16P8;2;0;0;0
;0;0;0;0;0;2;0;0;0
;0;0;0;0;0;9;0;0;0
;hohoho2388;592736253704;36;-;-;78;0;1;0
;0;0;0;0;0;99;0;1;0
;0;0;0;0;0;6;0;0;0
;0;0;0;0;0;6;0;0;0
;0;0;0;0;0;2;0;0;0
;0;0;0;0;0;34;0;0;0
;0;0;0;0;0;1;0;0;0
;0;0;0;0;0;1;0;0;0
;0;0;0;0;0;2;0;0;0
